subject_id,condition,goal_percent,delsys_processed_amplitude,condition_trial_count,delsys_baseline_amplitude,baseline_trial_count,baseline_ratio,baseline_percent_change
20,MTR40,40,1.007616929221884,2,0.3592722854478526,1,2.8046052257157386,180.46052257157385
20,MTR60,60,1.0138269382481866,2,0.3592722854478526,1,2.8218901911245275,182.1890191124528
20,MTR80,80,1.0542993427069045,2,0.3592722854478526,1,2.934541253001641,193.4541253001641
21,MTR20,20,1.1660683462011252,2,0.442100086660659,1,2.637566427568153,163.7566427568153
21,MTR40,40,0.8792454868331095,2,0.442100086660659,1,1.988792839816809,98.87928398168096
21,MTR60,60,0.8923391893171733,2,0.442100086660659,1,2.018409894594982,101.84098945949822
21,MTR80,80,1.0305841742861102,2,0.442100086660659,1,2.331110545737467,133.1110545737467
22,MTR20,20,0.5208776249287743,2,0.2956259562517412,2,1.761948211628681,76.19482116286814
22,MTR40,40,0.5380732171374445,2,0.2956259562517412,2,1.820114931583499,82.01149315834991
22,MTR60,60,0.6414729009764388,2,0.2956259562517412,2,2.169880172599562,116.98801725995618
22,MTR80,80,0.621460439889383,2,0.2956259562517412,2,2.10218496294749,110.218496294749
23,MTR20,20,0.2472003157617306,2,0.2157864299484768,1,1.1455785974157622,14.557859741576218
23,MTR40,40,0.2386593317051301,2,0.2157864299484768,1,1.105997869106573,10.599786910657304
23,MTR60,60,0.2157952344241019,2,0.2157864299484768,1,1.0000408018040208,0.0040801804020773
23,MTR80,80,0.3034203034617801,2,0.2157864299484768,1,1.4061139226142612,40.61139226142612
24,MTR20,20,0.7436603604920762,2,0.3681906538435613,1,2.019769792440322,101.9769792440322
24,MTR40,40,0.6998920391992911,2,0.3681906538435613,1,1.900895723161579,90.08957231615793
24,MTR60,60,0.7352048042121706,2,0.3681906538435613,1,1.9968046351457585,99.68046351457582
24,MTR80,80,0.7116942122169763,2,0.3681906538435613,1,1.932950238653707,93.2950238653707
