subject_id,condition,goal_percent,side,gait_cycle_pct,mlgrf_norm_mean,apgrf_norm_mean,vgrf_norm_mean,n_cycles,normalization_factor
1,Baseline,0,L,88.0,-0.0002558338121883,-0.0006858195802208,0.0013628296325722,97,0.9962166261897883
1,Baseline,0,L,89.0,-0.0001913872258465,-0.0004546914720156,0.0009480637687282,97,0.9962166261897883
1,Baseline,0,L,90.0,-0.0001892945821417,-0.0004353844106821,0.0008416582249483,97,0.9962166261897883
1,Baseline,0,L,91.0,-0.0001881297235227,-0.0004376637211984,0.0007518672809932,97,0.9962166261897883
1,Baseline,0,L,92.0,-0.0001864476184165,-0.0004384866064814,0.0006819810542816,97,0.9962166261897883
1,Baseline,0,L,93.0,-0.0001643379423939,-0.0003799868337816,0.0006030317481638,97,0.9962166261897883
1,Baseline,0,L,94.0,-0.000105772245394,-0.0002070770293954,0.0002824649789046,97,0.9962166261897883
1,Baseline,0,L,95.0,-0.0001092540513061,-0.0002166140696489,0.0002880015336267,97,0.9962166261897883
1,Baseline,0,L,96.0,-0.000114352328627,-0.0002276102139619,0.0002894764304058,97,0.9962166261897883
1,Baseline,0,L,97.0,-0.0001097203103758,-0.0002301388840964,0.0002918885856532,97,0.9962166261897883
1,Baseline,0,L,98.0,0.0,0.0,0.0,97,0.9962166261897883
1,Baseline,0,L,99.0,0.0,0.0,0.0,97,0.9962166261897883
1,Baseline,0,L,100.0,0.0,0.0,0.0,97,0.9962166261897883
1,Baseline,0,R,0.0,0.0017940111208343,0.0090634410742447,0.026602783022448,78,0.9962166261897883
1,Baseline,0,R,1.0,0.018105159947845,0.0431889939274167,0.1481638096805416,78,0.9962166261897883
1,Baseline,0,R,2.0,0.0392426982992679,0.0407977302390654,0.2800272165765694,78,0.9962166261897883
1,Baseline,0,R,3.0,0.0422649189929849,-0.0092763632616253,0.3532515688625761,78,0.9962166261897883
1,Baseline,0,R,4.0,0.0281885300196404,-0.0736882515815688,0.3948522265069358,78,0.9962166261897883
1,Baseline,0,R,5.0,0.0207133612397967,-0.0962445211368644,0.4749243789637007,78,0.9962166261897883
1,Baseline,0,R,6.0,0.0105889935625613,-0.099027556106638,0.5812948001257613,78,0.9962166261897883
1,Baseline,0,R,7.0,-0.0040619876453979,-0.1167195720761382,0.6602312681873014,78,0.9962166261897883
1,Baseline,0,R,8.0,-0.020094077756809,-0.1321838852080822,0.7069184230570356,78,0.9962166261897883
1,Baseline,0,R,9.0,-0.0316321029385443,-0.1396023410804601,0.7481148747090738,78,0.9962166261897883
1,Baseline,0,R,10.0,-0.0397013530099682,-0.1427374860761472,0.8050814678929817,78,0.9962166261897883
1,Baseline,0,R,11.0,-0.0475286337489864,-0.1456393675475459,0.8586645949100576,78,0.9962166261897883
1,Baseline,0,R,12.0,-0.0514400826540621,-0.1452834634434447,0.8938373231020728,78,0.9962166261897883
1,Baseline,0,R,13.0,-0.0516801869981599,-0.1405847247921208,0.9176128094203362,78,0.9962166261897883
1,Baseline,0,R,14.0,-0.0494793229647203,-0.130473687876675,0.942396234411444,78,0.9962166261897883
1,Baseline,0,R,15.0,-0.0468759784009149,-0.1206298959142987,0.9667594761099904,78,0.9962166261897883
1,Baseline,0,R,16.0,-0.0458895853706376,-0.1143034247729966,0.9726006251010768,78,0.9962166261897883
1,Baseline,0,R,17.0,-0.0458139716014418,-0.104887178703069,0.9613413634804816,78,0.9962166261897883
1,Baseline,0,R,18.0,-0.0463577649320267,-0.0941740817526417,0.9445388011367252,78,0.9962166261897883
1,Baseline,0,R,19.0,-0.0462245359613695,-0.0863683574596165,0.9223374374076376,78,0.9962166261897883
1,Baseline,0,R,20.0,-0.0466413853948626,-0.0795552586787896,0.8951352700868516,78,0.9962166261897883
1,Baseline,0,R,21.0,-0.0466576825118963,-0.070880415297405,0.8719489716267833,78,0.9962166261897883
1,Baseline,0,R,22.0,-0.0455452753945046,-0.0617559527436481,0.8506091152099534,78,0.9962166261897883
1,Baseline,0,R,23.0,-0.0425489050903743,-0.055930268099957,0.8243294215773574,78,0.9962166261897883
1,Baseline,0,R,24.0,-0.0402692222445095,-0.0478218284156326,0.8032673360993682,78,0.9962166261897883
1,Baseline,0,R,25.0,-0.0385058220139388,-0.0388713445185958,0.7812261015172255,78,0.9962166261897883
1,Baseline,0,R,26.0,-0.0372615492524448,-0.0286435269308334,0.7617741202274947,78,0.9962166261897883
1,Baseline,0,R,27.0,-0.0371863963853737,-0.0200602106792738,0.7486168649100257,78,0.9962166261897883
1,Baseline,0,R,28.0,-0.0354536849476214,-0.0187863072506736,0.7264882611089356,78,0.9962166261897883
1,Baseline,0,R,29.0,-0.0326891246445996,-0.0177565445225862,0.7062312908803946,78,0.9962166261897883
1,Baseline,0,R,30.0,-0.0328282039985623,-0.0233752891720814,0.6845491715491482,78,0.9962166261897883
1,Baseline,0,R,31.0,-0.0323397598417544,-0.0218653990012749,0.6758999574914323,78,0.9962166261897883
1,Baseline,0,R,32.0,-0.0305702702096277,-0.0165359338218133,0.6739864571496628,78,0.9962166261897883
1,Baseline,0,R,33.0,-0.0296604343111108,-0.0098843024671821,0.6793838241421776,78,0.9962166261897883
1,Baseline,0,R,34.0,-0.0289525358095332,-0.0010746557650246,0.6919617249775935,78,0.9962166261897883
1,Baseline,0,R,35.0,-0.0288732883270892,0.0023188258860036,0.7062014320583401,78,0.9962166261897883
1,Baseline,0,R,36.0,-0.0305861183513246,0.0082478799822618,0.7189922905891839,78,0.9962166261897883
1,Baseline,0,R,37.0,-0.031680322140807,0.0112689408076018,0.7250371187614335,78,0.9962166261897883
1,Baseline,0,R,38.0,-0.033659012395457,0.0167021255960738,0.7373157183505195,78,0.9962166261897883
1,Baseline,0,R,39.0,-0.0358113969247143,0.0239195051887509,0.7507934447707509,78,0.9962166261897883
1,Baseline,0,R,40.0,-0.0382577280255142,0.0312972851485658,0.7656022111404792,78,0.9962166261897883
1,Baseline,0,R,41.0,-0.0410659777714785,0.0394872950493289,0.7847225830891241,78,0.9962166261897883
1,Baseline,0,R,42.0,-0.0442770263241732,0.0481380748762545,0.8095033031663631,78,0.9962166261897883
1,Baseline,0,R,43.0,-0.0473365082683827,0.0568715429504246,0.8390031418891256,78,0.9962166261897883
1,Baseline,0,R,44.0,-0.0504127385124379,0.0608156419601804,0.8702567502517911,78,0.9962166261897883
