subject_id,condition,goal_percent,ap_braking_impulse_nbw_s_mean,ap_propulsive_impulse_nbw_s_mean,ap_net_impulse_nbw_s_mean,vertical_impulse_stance_nbw_s_mean,ml_outward_impulse_nbw_s_mean,vertical_avg_loading_rate_nbw_s_mean,vertical_peak_loading_rate_nbw_s_mean,ap_braking_development_rate_nbw_s_mean,ap_propulsion_development_rate_nbw_s_mean
7,MTR20,20,0.0457133970947776,0.0478206415568636,0.002345492332998,0.6292606148867866,0.03758888491225015,7.313887193547345,16.563493053983308,1.8783069434171833,0.6932094334353263
7,MTR40,40,0.0497057690968997,0.0512428443495869,0.0016773374346977002,0.6289444701039959,0.0314765362221031,8.109730605045307,19.16487288632247,2.245526488122176,0.7958937678669351
7,MTR60,60,0.0319515263500916,0.0354010986472376,0.00319811716715605,0.5388035828375107,0.030354681933671003,9.592046614461106,17.10485313265308,2.4702153763487162,0.9701417571525631
7,MTR80,80,0.03460959456366005,0.03681162909999795,0.0022413485396453,0.5214552927975797,0.0282840334083082,10.067189542000246,19.518134548408838,2.7838508162810287,1.1785605928086262
8,Baseline,0,0.0367577897708769,0.0346911561651347,-0.0019107784906165744,0.6590911673917552,0.0428745984573653,4.361225749118006,11.256155712623368,1.1258141348948634,0.5559751557129229
8,MTR20,20,0.036880419623715,0.03848508429172775,0.0018434087452412998,0.5989557477246998,0.0376401240951905,5.689740689467456,13.617010973879928,1.4990234128347102,0.8551749454826785
8,MTR40,40,0.03636869374225965,0.03744634364620255,0.0006569498317441,0.5799162726890787,0.03655508850280205,6.27702282311575,14.630158030510813,1.6420425889956747,0.9245674028342158
8,MTR60,60,0.039426596235991596,0.0397482893503279,0.000296467937305,0.5743425205007766,0.0378894898569444,7.321073419497489,15.454379832484772,1.9992520427447533,1.1001864656043356
8,MTR80,80,0.039506160529303655,0.03954819159783225,0.0003854233555426,0.5469108832219451,0.0366486836667379,8.772155814885597,18.57364887596617,2.4713637411146774,1.2206864182938786
9,Baseline,0,0.02525788329865235,0.0266151045589901,0.0010327329198296501,0.6414561550087947,0.04477114788116365,3.629733387330764,12.323316366553911,1.1688305171731734,0.5635261653761384
9,MTR20,20,0.029976939474505047,0.02962039721450755,-0.00012095545490049993,0.6148676916800748,0.03917314295131745,6.145970121568789,13.971045954143065,1.2398952409714568,0.7245198007540734
9,MTR40,40,0.02930667487297965,0.0304182457270019,0.0011072709730662496,0.551147307196351,0.04235098455714285,8.320757388991467,17.804576616411808,1.522238038595753,0.8154919662074978
9,MTR60,60,0.02933487287166555,0.03018250886835355,0.0009860368023098,0.5452367718009772,0.0375877968947816,9.361062316555138,20.66724868103435,1.6887740611417932,0.8403588963835249
9,MTR80,80,0.030760024287627502,0.0311932306276171,0.0004026703726162,0.5344187875697473,0.038107540830969955,10.540119087860099,25.086782126113494,2.0322086698529818,0.8903909962435066
10,Baseline,0,0.015723941565383398,0.029270356134238153,0.013563155536552001,0.5227671871609334,0.0288173973814682,4.185877286919996,8.73333693031827,0.6262941435533231,0.4348352387116521
10,MTR20,20,0.029991073707337203,0.0254766306007912,-0.00482318290642405,0.5547438812711483,0.0319600569323325,5.077562197805954,11.034401401094712,1.0719811189894648,0.8513114391037491
10,MTR40,40,0.030528007917856852,0.025784793415422752,-0.003670070860980969,0.5310462788667076,0.03126029973676125,6.6285287030481905,13.031169302317707,1.3499386834837517,0.966612853449857
10,MTR60,60,0.0309254299595804,0.02734473478788065,-0.003612684526994,0.5097986067145819,0.029812478003615,7.628022371176357,14.55626065215517,1.6287138578381042,1.1143961044479316
10,MTR80,80,0.0314602730484856,0.027801644794942952,-0.00379565384055895,0.49387484777490653,0.029151557308577547,8.851232544763114,16.9992495082404,2.015008798928892,1.2534586954148148
12,Baseline,0,0.036557897048590096,0.03737935301421035,0.0009604707424054538,0.5730721072007987,0.035160708837788546,7.071478006274756,12.482354410479436,1.5814436077845284,1.0556252713096108
12,MTR20,20,0.0416165506952728,0.041900553364355844,0.00022657013418530018,0.570473046993107,0.03012527476980905,8.556941234292989,17.095942961271263,1.7784568357108173,1.2955618746894235
12,MTR40,40,0.045782205252547004,0.04589365881704875,0.0002931099274277498,0.563355628900519,0.029434360061134097,9.539410912661399,19.54590323698105,2.1348705471093816,1.535412653399429
12,MTR60,60,0.048787617119491394,0.0464071616161617,-0.00241452074028,0.5557655003896945,0.0293538581256428,10.531846597583048,22.259314898504076,2.492380209750676,1.6668836333560983
12,MTR80,80,0.04906007014998515,0.047453766552143,-0.0016129245737776,0.5525006412890099,0.028005614496531647,10.722840423065236,23.75266989448999,2.569578187934935,1.7067806882527314
13,Baseline,0,0.03779992948589245,0.02407038317947595,-0.013490207488838252,0.5606330709005556,0.0374586649926638,7.234053382829501,15.038128899466008,1.7085541291825663,1.0257354450201084
13,MTR20,20,0.04207959282581695,0.0278805412968917,-0.0141624742997033,0.5410548949788893,0.04348237434103765,9.894810504336153,21.980066000339832,2.172454159361702,1.1683895688866635
13,MTR40,40,0.0403104416217988,0.027489850955542898,-0.01271804940909315,0.506661578944371,0.0375604703646245,10.994569960488164,23.383486707013972,2.7140406523886274,1.3416359561469176
13,MTR60,60,0.04498621363290485,0.0323916410009802,-0.01253548176152625,0.5002253521167372,0.0389923781739272,12.541355840271562,29.812084257934792,3.3321738235211056,1.584287141900577
13,MTR80,80,0.04730909147395285,0.03436382544131075,-0.01281820906972175,0.5094210226549065,0.038679390710665146,12.749917865754835,31.402565672994406,3.547827606576991,1.615467905932559
14,Baseline,0,0.02705533824181605,0.025183504553560353,-0.0017390067179611,0.6055558856357464,0.0271086170585713,4.35174915429331,9.17854522167,0.9953393213119652,0.519475876561857
14,MTR20,20,0.0322681973865871,0.0306394703740541,-0.0015009504108006002,0.6281401231776884,0.0251398977179808,5.249801475334497,9.665250164777692,1.2601087042810966,0.6811285378809737
14,MTR40,40,0.034325604376154346,0.03269801471498415,-0.0017387211915169502,0.603102873344671,0.025535398309141102,6.840479869506564,11.442944083689879,1.5117876404920083,0.8568466874160954
14,MTR60,60,0.03578435247559815,0.034759250222162905,-0.00120808814246305,0.5648530380476946,0.022923372740242,9.302897424544296,16.12635499729994,1.9005265897163848,1.0357117186645206
14,MTR80,80,0.037843389813949954,0.03653841161670725,-0.0014902246043810002,0.5478686827508181,0.02194759361373045,10.17541710381943,17.761489294170904,2.2819720268678494,1.179300419319379
15,Baseline,0,0.0297983616975981,0.03081894381017465,0.0012133004376362502,0.5557448534072584,0.03216804645079885,5.585110603927191,13.508450821924951,1.4858945957862313,0.8342021597303739
15,MTR20,20,0.03702898299264875,0.0380473384862059,0.0010740324727467499,0.5920260316112147,0.0325408360773745,7.030736107881614,19.192425858904503,1.8728106331585173,0.9942969661968152
15,MTR40,40,0.0368999053826796,0.03739602969934795,0.0006133673444898,0.5603694532993515,0.0291388900995022,7.835495942250694,20.571315813118733,2.033844612701258,1.1097989963925055
15,MTR60,60,0.0371854647713758,0.03699902967676335,-1.661234862689997e-05,0.5416802305539965,0.027871373037992,8.635491235827189,22.633787320166157,2.3332421438910993,1.214087373565362
15,MTR80,80,0.04010075569442925,0.03582700753557495,-0.0038600426239669,0.5433012048675012,0.02892300892913615,9.140550749005913,28.485909414616863,2.9474016777379184,1.3125072108369698
