subject_id,condition,goal_percent,side,ml_outward_peak_5_25,ap_braking_peak_5_25,ap_propulsion_peak_35_60,vertical_impact_peak_0_15,vertical_loading_slope_nbw_per_pct_0_15,vertical_first_peak_5_25,vertical_first_peak_timing_pct_5_25,vertical_midstance_minimum_20_40,vertical_second_peak_35_55,vertical_second_peak_timing_pct_35_55
2,MTR40,40,L,0.0634235469247061,-0.1393378647550933,0.2284912208007831,1.170977518768956,0.1245782819145475,1.170977518768956,14.0,0.6065074808467866,1.149767024269504,47.0
2,MTR40,40,R,0.0804633093129654,-0.1987449837368773,0.2106786899218606,1.2498958617558331,0.161175683232562,1.2498958617558331,13.0,0.5302943250817835,1.1601492471531936,46.0
2,MTR60,60,L,0.0767328489120177,-0.1017953832943286,0.299015225217471,1.1484517280424316,0.1972948069803396,1.1484517280424316,13.0,0.4297387814489407,1.2115066853783685,46.0
2,MTR60,60,R,0.1059529914369429,-0.1562345379435707,0.3849189060779616,1.3414833285841827,0.1960080785652662,1.3414833285841827,13.0,0.3041640706048673,1.3808089906750307,48.0
2,MTR80,80,L,0.1061745905087208,-0.2669359948313636,0.2955337510235552,1.4556202759389991,0.2361160591458552,1.4556202759389991,13.0,0.4268620523190052,1.129744716401971,44.0
2,MTR80,80,R,0.1204022090109219,-0.3209303326845667,0.3365545411210243,1.5414786008766934,0.2307324930373715,1.5414786008766934,13.0,0.2683653484615357,1.4558310930974645,46.0
3,MTR20,20,L,0.1233045898874205,-0.2891343176412643,0.21650011914647,1.2722571624021548,0.2764679959681369,1.2722571624021548,8.0,0.8275439829224164,1.1493955067420698,44.0
3,MTR20,20,R,0.107636491308916,-0.2712128103210302,0.2693964687114054,1.194288045013242,0.2434670099284732,1.194288045013242,9.0,0.8855923260430272,1.171972986919681,48.0
3,MTR40,40,L,0.1331817437230113,-0.2593235543117745,0.2314151249259436,1.2310672302761352,0.2459781756033577,1.2310672302761352,9.0,0.808389347436654,1.1613275168930957,45.0
3,MTR40,40,R,0.1273300321218222,-0.2736742652420391,0.2569922848012347,1.232082709731741,0.2551995057951176,1.232082709731741,10.0,0.8564587168161384,1.1984711002631814,48.0
3,MTR60,60,L,0.1489095786696565,-0.2782250074435419,0.2566945659786144,1.348273003353326,0.2966500385106548,1.348273003353326,9.0,0.7769771957504128,1.1780095552194112,45.0
3,MTR60,60,R,0.1395115635859261,-0.3314103472031782,0.2607484940320287,1.3531622393910678,0.2980751460912308,1.3531622393910678,8.0,0.7506875857353255,1.2073862842715546,46.0
3,MTR80,80,L,0.1505645873520082,-0.3717300953638844,0.2946295550109599,1.4212022326472955,0.4316880306896853,1.4212022326472955,8.0,0.5856559085773124,1.2105617035466003,45.0
3,MTR80,80,R,0.1479951842648624,-0.3895513099728606,0.3117631291854035,1.425264378431189,0.420609227751252,1.425264378431189,10.0,0.620861617304927,1.2136297791432833,46.0
4,Baseline,0,L,0.0709789319143311,-0.1864196122823092,0.1841304332526607,1.1457663867242749,0.1244615866937269,1.152142460186235,16.0,0.7224382546943298,1.0055649518273042,47.0
4,Baseline,0,R,0.0700425224948045,-0.178500398796037,0.1875173819888117,1.1269076786634404,0.1345004832591921,1.1447642095813184,17.0,0.7148287587599254,1.030008828980534,51.0
4,MTR20,20,L,0.0663460789090513,-0.2094759535022988,0.1857976923036036,1.3233973968694246,0.2361373029033369,1.3233973968694246,12.0,0.6393831280798326,0.8466672271557437,47.0
4,MTR20,20,R,0.0860496854261911,-0.2352889964179988,0.2297270793030289,1.3226098836736762,0.1886733642597962,1.3226098836736762,15.0,0.4663049277236422,0.9770538889865864,52.0
4,MTR40,40,L,0.0757324886299185,-0.2211436648321847,0.2151668269220774,1.3953848201939212,0.2131936779627006,1.3953848201939212,13.0,0.5857082104385594,0.8988538328313592,47.0
4,MTR40,40,R,0.0848580162171599,-0.2308233833010366,0.2347061738924724,1.3110240214913764,0.1900882310917218,1.312651827667038,16.0,0.4953401725718206,0.9898355624126992,52.0
4,MTR60,60,L,0.076788638055556,-0.2628940507449697,0.2479115757107083,1.4897161372209722,0.2485658089411506,1.4897161372209722,13.0,0.5498346410651583,0.9547505401829172,48.0
4,MTR60,60,R,0.0829828305656454,-0.2590382959911615,0.2678993477455634,1.3862961156563514,0.2033343664224129,1.3862961156563514,15.0,0.4598307696714235,1.0522717029476831,52.0
4,MTR80,80,L,0.0595878117762894,-0.2305238600007892,0.1873786686162482,1.301586828218604,0.2020003055826877,1.301586828218604,13.0,0.5982571365289665,0.89003018996741,47.0
4,MTR80,80,R,0.074188858905827,-0.2436128965367949,0.261105658905467,1.2842073822313669,0.1827084504377853,1.2842073822313669,14.0,0.4547426647873711,1.040820079476012,52.0
5,Baseline,0,L,0.0930774283954756,-0.1623812380372945,0.1632814039265474,1.036011673545583,0.1291156132798682,1.036011673545583,15.0,0.9033069712762476,1.037423017989504,49.0
5,Baseline,0,R,0.0982265982984486,-0.1416730979327941,0.189869451755756,1.0001585950387355,0.1125618454863892,1.0278526806160604,18.0,0.8873861447724029,1.07686252012991,49.0
5,MTR20,20,L,0.0838295422585653,-0.1726962106032934,0.1545398063232537,1.0825371198379403,0.1137796304973842,1.1019522603138996,17.0,0.8365749466209519,1.0043503178340305,45.0
5,MTR20,20,R,0.0632168988461997,-0.1633525148622935,0.2223459107992781,1.1095216259706242,0.1063830831484931,1.140838924167579,18.0,0.8415228248270591,1.1530397056578396,52.0
5,MTR40,40,L,0.0847409896693457,-0.1423047052429643,0.1717889145857411,1.014126819119668,0.1270987243112721,1.025261018660136,17.0,0.8700124756669626,1.0459912685453203,47.0
5,MTR40,40,R,0.0715723999297647,-0.1769450176740265,0.1940007356682775,1.0731195280057757,0.1193693697875341,1.0731195280057757,15.0,0.8427235097924926,1.1458883156586384,50.0
5,MTR60,60,L,0.0911398819292102,-0.1712040661670109,0.1864631871529734,1.0497101049184825,0.150341139399844,1.0497101049184825,15.0,0.8631682348915348,1.0114689919995536,46.0
5,MTR60,60,R,0.0818245480516269,-0.218521492489758,0.2216092477302662,1.2277078175771905,0.1390728746692498,1.2277078175771905,14.0,0.7602023045971655,1.1703889591999108,49.0
