subject_id,condition,goal_percent,phase,phase_label,component,component_label,mean_force,impulse,peak_positive,peak_negative,Speed,goal_scaled_20
1,MTR60,60,terminal_stance,Terminal stance,ml_outward,ML outward,0.0375166296616876,0.0052337813999088,0.0433407383757022,0.0319447624887016,1.4,3.0
1,MTR60,60,terminal_stance,Terminal stance,vgrf_norm_mean,Vertical GRF,0.8505057106624312,0.1196211698235074,0.992358911542908,0.6541358368787631,1.4,3.0
1,MTR80,80,loading_response,Loading response,apgrf_norm_mean,APGRF,-0.145848651825693,-0.02082035982333,0.0136469259591568,-0.2364765627918395,1.64,4.0
1,MTR80,80,loading_response,Loading response,ml_outward,ML outward,0.0237323457643631,0.0031657188245388,0.0840739535300564,-0.0404940629371456,1.64,4.0
1,MTR80,80,loading_response,Loading response,vgrf_norm_mean,Vertical GRF,0.8755042500629953,0.12501098921015,1.248465600417037,0.026835586089331,1.64,4.0
1,MTR80,80,midstance,Midstance,apgrf_norm_mean,APGRF,-0.0668045225147263,-0.0124548748122816,0.0053834257182606,-0.1865893638509833,1.64,4.0
1,MTR80,80,midstance,Midstance,ml_outward,ML outward,0.0458473739261774,0.0086357575957312,0.0711608029615084,0.0346372499609768,1.64,4.0
1,MTR80,80,midstance,Midstance,vgrf_norm_mean,Vertical GRF,0.7529747505727085,0.1416893908920367,1.2051792172824751,0.5255427232364337,1.64,4.0
1,MTR80,80,pre_swing,Pre-swing,apgrf_norm_mean,APGRF,0.0983114579847557,0.0136033802760997,0.2373716039479658,-0.0016392122697538,1.64,4.0
1,MTR80,80,pre_swing,Pre-swing,ml_outward,ML outward,0.0077022331215202,0.0009840563378281,0.0335137999579893,-0.0074501922099267,1.64,4.0
1,MTR80,80,pre_swing,Pre-swing,vgrf_norm_mean,Vertical GRF,0.3457915717700964,0.0471095533318972,0.9369975393976978,0.0148389473257548,1.64,4.0
1,MTR80,80,terminal_stance,Terminal stance,apgrf_norm_mean,APGRF,0.0987559653018638,0.0136790117841958,0.2170642813905298,0.0098123208262113,1.64,4.0
1,MTR80,80,terminal_stance,Terminal stance,ml_outward,ML outward,0.0354226681153278,0.0049624836238635,0.0407410038754368,0.0312668406798009,1.64,4.0
1,MTR80,80,terminal_stance,Terminal stance,vgrf_norm_mean,Vertical GRF,0.8505314536216548,0.1196462869008934,1.026307776058549,0.602653369431387,1.64,4.0
2,Baseline,0,loading_response,Loading response,apgrf_norm_mean,APGRF,-0.0850403480944235,-0.01211320180872,0.0512751353723755,-0.1623061893275596,1.1,0.0
2,Baseline,0,loading_response,Loading response,ml_outward,ML outward,0.0193964936044731,0.0026308883384088,0.0592018196086682,-0.0228743708689059,1.1,0.0
2,Baseline,0,loading_response,Loading response,vgrf_norm_mean,Vertical GRF,0.6616215182381877,0.0937299067471728,1.0742765190074188,0.0283876787036353,1.1,0.0
2,Baseline,0,midstance,Midstance,apgrf_norm_mean,APGRF,-0.038271669774842,-0.0070795310856162,0.0118307100227223,-0.1267912838931534,1.1,0.0
2,Baseline,0,midstance,Midstance,ml_outward,ML outward,0.0433986242503141,0.0082044803442011,0.0561735544247633,0.0333953674872147,1.1,0.0
2,Baseline,0,midstance,Midstance,vgrf_norm_mean,Vertical GRF,0.910133088883726,0.1723774289851994,1.0771378203838022,0.8171700885507729,1.1,0.0
2,Baseline,0,pre_swing,Pre-swing,apgrf_norm_mean,APGRF,0.0963830780813567,0.0138816575366529,0.1670111070754377,-0.0132009180130664,1.1,0.0
2,Baseline,0,pre_swing,Pre-swing,ml_outward,ML outward,0.0293081604547712,0.0040362151167352,0.0713129498310863,-0.0015926196375848,1.1,0.0
2,Baseline,0,pre_swing,Pre-swing,vgrf_norm_mean,Vertical GRF,0.5820754631046532,0.0817722326969839,1.0413752433419103,0.0664421104009019,1.1,0.0
2,Baseline,0,terminal_stance,Terminal stance,apgrf_norm_mean,APGRF,0.0589636265727899,0.0081828285166495,0.1148977813146762,0.0174453125391087,1.1,0.0
2,Baseline,0,terminal_stance,Terminal stance,ml_outward,ML outward,0.0584124137328024,0.0082052543199209,0.0707237158826874,0.0405978321172069,1.1,0.0
2,Baseline,0,terminal_stance,Terminal stance,vgrf_norm_mean,Vertical GRF,0.9905299484752556,0.1389657641900845,1.0686966788754946,0.867371069810593,1.1,0.0
2,MTR20,20,loading_response,Loading response,apgrf_norm_mean,APGRF,-0.0645130234619091,-0.009104573749326,0.0827729755978751,-0.1495320682974334,1.16,1.0
2,MTR20,20,loading_response,Loading response,ml_outward,ML outward,0.016924139603336,0.0022434504825787,0.0648738775466403,-0.0491619254126401,1.16,1.0
2,MTR20,20,loading_response,Loading response,vgrf_norm_mean,Vertical GRF,0.6892673659848505,0.0973598791697257,1.177563435857369,0.028481709743,1.16,1.0
2,MTR20,20,midstance,Midstance,apgrf_norm_mean,APGRF,-0.0266490302228332,-0.0048924751695653,0.0328346358068512,-0.1203008108071193,1.16,1.0
2,MTR20,20,midstance,Midstance,ml_outward,ML outward,0.0471663196067779,0.0089128448460378,0.0670865891466563,0.0261462806170315,1.16,1.0
2,MTR20,20,midstance,Midstance,vgrf_norm_mean,Vertical GRF,0.8269903405653378,0.1561111730354998,1.1783227783977623,0.6246774564289936,1.16,1.0
2,MTR20,20,pre_swing,Pre-swing,apgrf_norm_mean,APGRF,0.1083164957841109,0.015434631462682,0.1878789970322375,-0.005545544437718,1.16,1.0
2,MTR20,20,pre_swing,Pre-swing,ml_outward,ML outward,0.0260701667359924,0.003561254952914,0.0697183648021018,-0.0021484512031946,1.16,1.0
2,MTR20,20,pre_swing,Pre-swing,vgrf_norm_mean,Vertical GRF,0.485824091151188,0.0676171046003861,1.047427474730581,0.00387433972783,1.16,1.0
2,MTR20,20,terminal_stance,Terminal stance,apgrf_norm_mean,APGRF,0.1025868600973558,0.0144053478832372,0.1547967635567517,0.0417394627164733,1.16,1.0
2,MTR20,20,terminal_stance,Terminal stance,ml_outward,ML outward,0.0625749082978226,0.0088213727898418,0.0735762638300285,0.0418219592234536,1.16,1.0
2,MTR20,20,terminal_stance,Terminal stance,vgrf_norm_mean,Vertical GRF,0.9694540223182572,0.1364736665133143,1.1122245660982504,0.708831749557721,1.16,1.0
2,MTR40,40,loading_response,Loading response,apgrf_norm_mean,APGRF,-0.0817485243675877,-0.0115818066933165,0.0727276381742425,-0.1690414242459853,1.27,2.0
2,MTR40,40,loading_response,Loading response,ml_outward,ML outward,0.0223405523785616,0.0030213515604468,0.0708691020300749,-0.0489752385931274,1.27,2.0
2,MTR40,40,loading_response,Loading response,vgrf_norm_mean,Vertical GRF,0.7518815819680387,0.1066169874099265,1.2104366902623944,0.0286025437798254,1.27,2.0
2,MTR40,40,midstance,Midstance,apgrf_norm_mean,APGRF,-0.0291063312185352,-0.0053202993682147,0.0305982307098573,-0.1307916058083094,1.27,2.0
2,MTR40,40,midstance,Midstance,ml_outward,ML outward,0.0458721669883802,0.0086264085389075,0.0713474439625201,0.0216894982750231,1.27,2.0
2,MTR40,40,midstance,Midstance,vgrf_norm_mean,Vertical GRF,0.777047218858958,0.146252363322958,1.1879845575787873,0.5684009029642851,1.27,2.0
2,MTR40,40,pre_swing,Pre-swing,apgrf_norm_mean,APGRF,0.1158602387959544,0.0163536469808958,0.2195849553613219,-0.0058557936615154,1.27,2.0
2,MTR40,40,pre_swing,Pre-swing,ml_outward,ML outward,0.0227350191831051,0.003060390791715,0.0699504668505646,-0.0033322164292011,1.27,2.0
2,MTR40,40,pre_swing,Pre-swing,vgrf_norm_mean,Vertical GRF,0.4531396807061508,0.0626106060973986,1.0688724801426648,0.0031967215621317,1.27,2.0
